Árvore ,HT,HI,dicc1,dicc2,esp.casca(cm)
1,"32,6","0,1",22,"25,5","0,7"
1,"32,6","0,5",20,21,"0,7"
1,"32,6",1,"20,5",20,"0,7"
1,"32,6","1,3","19,5","19,8","0,65"
1,"32,6",2,19,"19,2","0,6"
1,"32,6",4,"18,3","18,8","0,55"
1,"32,6",6,18,"17,9","0,5"
1,"32,6",8,"16,8",17,"0,45"
1,"32,6",10,16,"16,8","0,4"
1,"32,6",12,"14,5","15,5","0,4"
1,"32,6",14,14,"14,8","0,4"
1,"32,6",16,"13,2","13,3","0,35"
1,"32,6",18,"11,8","12,5","0,3"
1,"32,6",20,"11,7",12,"0,3"
1,"32,6",22,"10,5","10,8","0,3"
1,"32,6",24,"9,3","9,8","0,25"
1,"32,6",26,"8,2",8,"0,25"
1,"32,6",28,"6,6","6,5","0,2"
1,"32,6",30,"5,2","5,1","0,1"
2,"33,4","0,1","24,5",26,1
2,"33,4","0,5","22,8",24,"0,85"
2,"33,4",1,22,"22,9","0,7"
2,"33,4","1,3","20,9","22,3","0,6"
2,"33,4",2,"20,7","20,2","0,55"
2,"33,4",4,20,"19,9","0,5"
2,"33,4",6,19,"18,8","0,45"
2,"33,4",8,18,"17,9","0,4"
2,"33,4",10,"18,2","17,2","0,35"
2,"33,4",12,"16,5","15,4","0,3"
2,"33,4",14,"15,5","14,9","0,3"
2,"33,4",16,"14,5","13,5","0,3"
2,"33,4",18,"13,9",13,"0,3"
2,"33,4",20,"12,5","12,1","0,3"
2,"33,4",22,12,11,"0,3"
2,"33,4",24,"10,2","9,4","0,3"
2,"33,4",26,"10,5","9,5","0,25"
2,"33,4",28,"8,3","7,6","0,2"
2,"33,4",30,"6,9","6,1","0,2"
3,"35,7","0,1","27,1","33,9","0,9"
3,"35,7","0,5","29,9","26,2","0,9"
3,"35,7",1,26,"27,9","0,85"
3,"35,7","1,3",26,"27,4","0,8"
3,"35,7",2,"26,9","25,8","0,65"
3,"35,7",4,"25,7","27,9","0,5"
3,"35,7",6,"23,3","23,2","0,5"
3,"35,7",8,23,"22,9","0,5"
3,"35,7",10,"21,5","19,9","0,45"
3,"35,7",12,"21,5","19,3","0,4"
3,"35,7",14,"19,3","19,4","0,4"
3,"35,7",16,"18,3","18,5","0,4"
3,"35,7",18,"17,2","17,5","0,4"
3,"35,7",20,17,"16,4","0,4"
3,"35,7",22,"15,2","14,2","0,4"
3,"35,7",24,"13,5","13,3","0,4"
3,"35,7",26,"12,5",12,"0,4"
3,"35,7",28,11,"9,6","0,4"
3,"35,7",30,"9,1","8,5","0,4"
3,"35,7",32,"7,3","6,5","0,4"
3,"35,7",34,"3,2","3,3","0,4"
4,"34,5","0,1",23,"23,5","0,4"
4,"34,5","0,5","20,1","20,3","0,4"
4,"34,5",1,"18,5","19,2","0,4"
4,"34,5","1,3","19,2",18,"0,4"
4,"34,5",2,19,"18,6","0,4"
4,"34,5",4,"17,4","17,3","0,4"
4,"34,5",6,"17,2",17,"0,35"
4,"34,5",8,"16,2",16,"0,3"
4,"34,5",10,"15,8","15,1","0,25"
4,"34,5",12,15,"14,4","0,2"
4,"34,5",14,14,"13,4","0,15"
4,"34,5",16,13,"12,5","0,1"
4,"34,5",18,"12,2","11,7","0,1"
4,"34,5",20,"11,2","9,9","0,1"
4,"34,5",22,"10,3","10,2","0,1"
4,"34,5",24,"9,2",9,"0,1"
4,"34,5",26,8,"7,7","0,05"
4,"34,5",28,"6,8","6,9","0,05"
4,"34,5",30,"5,2","5,1","0,05"
5,"21,5","0,1","11,6","11,4","0,3"
5,"21,5","0,5","11,2","10,9","0,3"
5,"21,5",1,"10,8","10,3","0,25"
5,"21,5","1,3","10,2","10,1","0,25"
5,"21,5",2,"10,2","10,3","0,2"
5,"21,5",4,"9,2","9,5","0,2"
5,"21,5",6,"8,9","8,2","0,2"
5,"21,5",8,"7,9","7,9","0,1"
5,"21,5",10,"7,2","7,1","0,1"
5,"21,5",12,"6,3","6,2","0,1"
5,"21,5",14,6,"5,5","0,1"
5,"21,5",16,"4,5","4,3","0,05"
5,"21,5",18,"3,2","3,2","0,05"
6,"33,45","0,1","20,4",21,"0,9"
6,"33,45","0,5","19,9","18,9","0,7"
6,"33,45",1,"18,5",17,"0,6"
6,"33,45","1,3","17,1","18,9","0,5"
6,"33,45",2,18,17,"0,4"
6,"33,45",4,17,"16,5","0,45"
6,"33,45",6,"17,1","16,3","0,3"
6,"33,45",8,16,"16,3","0,2"
6,"33,45",10,"15,3","15,1","0,2"
6,"33,45",12,"14,8","14,2","0,2"
6,"33,45",14,"13,5","13,5","0,2"
6,"33,45",16,"12,8","12,9","0,2"
6,"33,45",18,12,11,"0,2"
6,"33,45",20,11,"10,5","0,2"
6,"33,45",22,"10,2","9,9","0,15"
6,"33,45",24,"9,8","8,3","0,15"
6,"33,45",26,"7,8",8,"0,15"
6,"33,45",28,"6,9","6,7","0,1"
6,"33,45",30,"5,9","5,5","0,1"
6,"33,45",32,3,"3,5","0,05"
7,"33,45","0,1","27,2","26,9",1
7,"34,6","0,5","23,3","24,6","0,9"
7,"34,6",1,"22,2","23,5","0,8"
7,"34,6","1,3",22,"23,2","0,7"
7,"34,6",2,"22,4","21,5","0,6"
7,"34,6",4,22,"20,6","0,5"
7,"34,6",6,20,"20,5","0,4"
7,"34,6",8,"19,7","20,2","0,35"
7,"34,6",10,"18,5",19,"0,3"
7,"34,6",12,"18,2","17,7","0,3"
7,"34,6",14,"16,5","17,1","0,3"
7,"34,6",16,"15,4","16,1","0,3"
7,"34,6",18,15,15,"0,3"
7,"34,6",20,"13,9","14,2","0,3"
7,"34,6",22,"13,5","12,9","0,3"
7,"34,6",24,"11,9","11,5","0,3"
7,"34,6",26,"10,8","10,9","0,3"
7,"34,6",28,"8,9","9,5","0,3"
7,"34,6",30,"7,2","7,9","0,3"
7,"34,6",32,"5,9","6,5","0,3"
8,"21,1","0,1","12,3","12,1","0,3"
8,"21,1","0,5","11,6","11,5","0,3"
8,"21,1",1,11,"11,4","0,3"
8,"21,1","1,3",11,"10,5","0,3"
8,"21,1",2,"10,8","11,5","0,25"
8,"21,1",4,"10,9","9,8","0,2"
8,"21,1",6,"9,3","9,2","0,1"
8,"21,1",8,"8,9",8,"0,1"
8,"21,1",10,8,"7,5","0,1"
8,"21,1",12,7,"6,9","0,1"
8,"21,1",14,6,6,"0,1"
8,"21,1",16,"4,9","4,5","0,05"
8,"21,1",18,"4,1","3,8","0,05"
9,"25,5","0,1","11,1","14,8","0,7"
9,"25,5","0,5","12,9","13,3","0,4"
9,"25,5",1,"12,8","13,3","0,4"
9,"25,5","1,3","12,2","13,1","0,4"
9,"25,5",2,12,"11,9","0,3"
9,"25,5",4,12,"11,8","0,2"
9,"25,5",6,"10,9","11,9","0,15"
9,"25,5",8,"10,8","10,2","0,1"
9,"25,5",10,"9,7","9,9","0,1"
9,"25,5",12,"8,9","8,5","0,1"
9,"25,5",14,"7,7","7,5","0,1"
9,"25,5",16,"7,9","6,5","0,1"
9,"25,5",18,"5,9",6,"0,05"
9,"25,5",20,"4,5","4,5","0,05"
9,"25,5",22,"3,3","3,1","0,05"
10,"29,8","0,1","18,5","19,7",1
10,"29,8","0,5","16,4","16,8","0,6"
10,"29,8",1,"14,9","16,9","0,6"
10,"29,8","1,3",15,16,"0,5"
10,"29,8",2,"15,9","14,8","0,3"
10,"29,8",4,"15,2","14,5","0,3"
10,"29,8",6,"14,5","13,1","0,3"
10,"29,8",8,"13,3","15,2","0,3"
10,"29,8",10,"12,3","12,4","0,3"
10,"29,8",12,"11,6","11,7","0,2"
10,"29,8",14,"10,6","10,9","0,2"
10,"29,8",16,"9,5","9,8","0,2"
10,"29,8",18,"8,9","9,9","0,15"
10,"29,8",20,8,"7,9","0,15"
10,"29,8",22,"6,5",7,"0,1"
10,"29,8",24,"5,8","5,5","0,05"